TrialType,Number,Vignette,Group
filler,1,"A person lies to someone in order to avoid hurting their feelings.",NA
filler,2,"A person downloads a TV program in violation of copyright laws.",NA
filler,3,"A woman whose husband is technically brain dead, and who will die within 6 months, starts up an extra-marital relationship with another man while her husband is still alive.",NA
filler,4,"An employee reports a supervisor who makes a lewd sexual comment to a female co-worker, which results in a long legal battle between the workplace and the co-worker.",NA
filler,5,"An adult brother and sister kiss passionately.",NA
filler,6,"Despite not having attention deficit and hyperactivity disorder (ADHD), nor a prescription for the drug, a student takes the drug Ritalin, in order to improve her concentration while studying for an exam.",NA
filler,7,"A young man takes steroids in order to perform better at sports. His family does not have enough money to pay college tuition, so he hopes to fulfill his goal of becoming a doctor by getting an athletic scholarship to a Division I school.",NA
filler,8,"A person who is in a rush parks illegally in a handicapped spot while picking up a prescription at the pharmacy (The car-park is approximately half-full).",NA
filler,9,"A single mother prostitutes herself in order to feed her two children, ages 3 and 5, who have been without food for two days.",NA
filler,10,"An executive at a large multi-national corporation notices that the company has engaged in illegal activities that have defrauded investors and harmed thousands of lower-income people. Instead of reporting the company to the authorities, the executive blackmails the board of the company and disperses the wealth among the lower-income families.",NA
filler,11,"A person goes to a dinner party and has four drinks throughout the course of the night. The person suspects that they might be over the blood-alcohol limit, but since they live only five minutes away, and are dropping off a friend on the way home, they drive anyway.",NA
filler,12,"A hospital administrator institutes a vaccination program that will prevent 1,000 children from dying from an epidemic of a new infectious disease. However, the vaccine itself will kill 100 children because it sometimes causes the same disease.",NA
filler,13,"A person living in a country with corrupt leadership evades paying taxes because he knows that the money goes directly to officials instead of going toward efforts to improve life for the majority of the country's citizens.",NA
filler,14,"A person is given a large sum of money by a charity organization in order to set up a health clinic in a poor neighbourhood. Instead, the person uses the money to pay his sick child's medical bill, which he otherwise cannot afford.",NA
